assieds toi !	sit down !
je veux celle ci .	i want this one .
tom fais attention !	tom be careful !
chante avec moi !	sing along .
je vous hais .	i hate you .
personne ne nous a vus .	nobody saw us .
elles ont morfle .	they struggled .
je connais cette chanson .	i know this song .
tom vote .	tom is voting .
tom assure .	tom rocks .
quelle humiliation !	how humiliating !
tout le monde est il la ?	is everyone here ?
votre temps est ecoule .	your time is up .
tom a votre age .	tom is your age .
c est sans valeur .	it s worthless .
restez calme .	keep calm .
fichez nous la paix !	leave us alone .
la sirene a retenti .	the siren blew .
je n ai rien dit .	i said nothing .
tu es un puritain .	you are a prude .
je n admets rien .	i admit nothing .
tout le monde s est exprime .	everyone spoke .
ils ont gagne .	they won .
nous avons ete battues .	we lost .
je n ai pas de mauvaise intention .	i mean no harm .
vous etes bougonne .	you re grumpy .
il adore les trains .	he loves trains .
t es tu amusee ?	did you have fun ?
je suis tombee a terre .	i fell down .
nous sommes maintenant prets .	we re ready now .
je suis confuse .	i m baffled .
nous ferons la cuisine .	we ll cook .
soyez tres prudents !	be very careful .
vous etes prudent .	you re prudent .
les enfants sont cruels .	kids are cruel .
pardon ?	excuse me ?
vous etes naif .	you re naive .
nous survivrons .	we ll survive .
est ce que tom est malade ?	is tom ill ?
nettoyez tout .	wash everything .
tenez vous prete !	be prepared .
je suis ici .	i am here .
ca signifie quelque chose pour moi .	it matters to me .
comme c est triste .	how sad !
il est si jeune .	he s so young .
nous ne sommes pas difficiles .	we re not fussy .
tom etait contrarie .	tom was upset .
attends un peu .	wait a bit .
il y en a marre .	this is enough .
tom ne s arrete jamais .	tom never stops .
elles nous aident .	they help us .
repose en paix .	rest in peace .
je deteste les fetes .	i hate parties .
donne le lui .	give it to him .
etes vous malchanceuse ?	are you unlucky ?
je n en ai pas .	i don t have one .
je suis d accord avec lui .	i agree with him .
tenez ceci !	hold this .
nous n avons pas le choix .	we ve no choice .
je ne suis pas parfait .	i m not perfect .
il faudrait que tom mange .	tom should eat .
perfectionnez vos competences .	hone your skills .
c etait blanc .	it was white .
aidez moi a sortir de la !	help me out here .
vous etes vieilles .	you re old .
je l ai vu nager .	i saw her swim .
elles ne s en soucient pas .	they don t care .
nous sommes toutes ici .	we re all here .
j apprecie le cinema .	i enjoy movies .
dieu que j etais naive !	boy was i naive .
vous etes la meilleure .	you re the best .
qui a fait ca ?	who did this ?
il s agit d un mensonge .	that s a lie .
ca semble probable .	it seems likely .
je ne suis pas contente .	i m not happy .
lance la balle .	throw the ball .
nous etudions la musique .	we study music .
il a pete les plombs .	he cracked up .
laisse moi t aider !	let me help you .
de la fumee apparut .	smoke appeared .
il est endormi .	he is asleep .
il est encore ici .	he is still here .
puis je garder ceci ?	can i keep this ?
je me suis assise au bar .	i sat at the bar .
je suis tout ouie .	i m all ears .
nous le savons toutes .	we all know .
c est completement termine .	it s all over .
tom a vote .	tom voted .
tom est dehors .	tom is outside .
postez cette lettre .	mail this letter .
laisse moi faire ca .	leave this to me .
retire ca !	take that back .
ils peuvent gerer .	they can manage .
je suis en train de cuire du pain .	i m baking bread .
vous etes bons .	you are good .
es tu d accord ?	do you agree ?
tom est aimable .	tom is friendly .
nous sommes impatientes .	we re impatient .
je t ai dit de sortir .	i said get out .
personne ne m apprecie .	no one likes me .
il fait nuit .	it s night .
je ne suis pas ici .	i m not here .
est ce que ca fait mal ?	does it hurt ?
nous sommes dans les temps .	we re on time .
tom gagne .	tom s winning .
deguerpissez .	get lost .
je vais le buter .	i will shoot him .
elles vont venir .	they will come .
ouvre ta fenetre .	open your window .
ca ne compte pas .	it doesn t count .
ne sautez pas !	don t jump !
je me suis presente comme mayeur .	i ran for mayor .
cela demande du temps .	it takes time .
apportez le moi .	bring him to me .
reste malin !	stay sharp .
je l acheterais .	i d buy that .
j ai a nouveau gagne .	i won again .
donne moi une minute !	give me a minute .
sautez de l autre cote .	jump across .
ca se tient .	it makes sense .
tom hurla .	tom yelled .
nettoyez ca .	clean that up .
regardez la tele ici .	watch tv here .
regarde ce que j ai fait !	look what i did .
ou est tom actuellement ?	where s tom now ?
les perroquets sont capables de chanter .	parrots can sing .
c etait bleu fonce .	it was dark blue .
je viens de recevoir ca .	i just got that .
il n est pas pret .	he s not ready .
j etais en train de reflechir .	i was thinking .
le ciel est bleu .	the sky is blue .
tom est determine .	tom is driven .
c est tres gros .	this is too big .
essaie le gateau .	try the cake .
regardez celles ci !	check these out .
garde tom la bas .	keep tom there .
comment puis je perdre ?	how can i lose ?
tu aimes le rap ?	do you like rap ?
suis je dote de talent ?	am i talented ?
j aime le froid .	i like the cold .
il est incapable de le faire .	he can t do it .
arrives tu a voir ?	can you see ?
c etait necessaire .	it was necessary .
je suis faible .	i m weak .
c est bon marche .	this is cheap .
tom travaille seul .	tom works alone .
pressez vous !	hurry up .
restez dehors .	stay outside .
casse toi .	get away !
nous adorons notre chienne .	we love our dog .
je refuse d aider .	i refuse to help .
ramasse le .	pick it up .
etes vous enervees ?	are you excited ?
ne quitte pas !	don t hang up .
fais toi plaisir .	live a little .
elles en veulent davantage .	they want more .
tom se retablissait .	tom recovered .
simplifie .	make it simple .
je n ai pas conduit .	i didn t drive .
je suis alle a la maison .	i went home .
nous sommes jardiniers .	we re gardeners .
tom ne risque t il rien ?	is tom safe ?
tom a halete .	tom gasped .
quelle equipe a gagne ?	which team won ?
je suis entre deux emplois .	i m between jobs .
tom etait sincere .	tom was frank .
nous y voila !	here we are .
vous pouvez y arriver .	you can do it .
elles mentent .	they re lying .
je suis mort de fatigue .	i m dead tired .
grand ou petit ?	large or small ?
qu est ce que tu as fait ?	what did you do ?
comment vas tu ?	how are you ?
tu veux dire nous ?	do you mean us ?
nous sommes des hommes .	we are men .
aimez vous le vin ?	do you like wine ?
qui est ce ?	who is he ?
rends moi heureuse .	make me happy .
prends un numero !	take a number .
c est un bon signe .	it s a good sign .
etes vous blessees ?	are you injured ?
elle est enceinte .	she s pregnant .
du balai !	get out !
tom est il seul ?	is tom alone ?
celebrons .	let s celebrate .
veuillez rester ici .	please stay here .
calme toi .	steady yourself .
je te pardonnerai .	i ll forgive you .
tom a accepte .	tom agreed .
nous pourrions lire .	we could read .
ca fait quoi ?	how does it feel ?
n est elle pas mignonne ?	isn t it cute ?
nous reussirons .	we ll succeed .
verifie !	check it out .
je suis reste sans voix .	i was speechless .
elles aiment tom .	they love tom .
je l ai eu gratuitement .	i got it free .
tu es un ange .	you re an angel .
c en est un gros .	it s a big one .
rouge c est mieux .	red is better .
tom est debout .	tom s up .
je ne parviens pas a bien voir .	i can t see well .
allons dejeuner .	let s have lunch .
j entends de la musique .	i hear music .
pourquoi es tu triste ?	why are you sad ?
ecoutez ca !	listen to this !
ou etes vous ?	where are you ?
nous en avons fini .	we re done .
comment tom va t il ?	how is tom doing ?
sois attentive .	be attentive .
je suis paume maintenant .	i m confused now .
je sens les ennuis arriver .	i smell trouble .
tom travaillera .	tom will work .
il est tout a toi .	it s all yours .
je le merite .	i deserve it .
avez vous froid ?	are you cold ?
ecrivez de maniere lisible .	write legibly .
sors de la !	get out of there .
tom est reveille .	tom s awake .
je me suis coupee .	i cut myself .
faites bon voyage .	have a nice trip .
c est effarant !	this is awesome .
sont elles parties ?	have they gone ?
je veux celui ci .	i want this one .
c est pas possible !	no way !
vous etes charmant .	you re charming .
pensez y encore .	think again .
prenez les escaliers .	go up the stairs .
je ne suis pas heureux .	i am not happy .
il me faut un manteau .	i need a coat .
j ai faim !	i feel hungry .
merci tout de meme .	thanks anyway .
descendons .	let s go down .
quel miracle !	what a miracle !
il faisait tres chaud .	it was very hot .
je ne peux pas encore lire .	i can t read yet .
je viens d amerique .	i m from america .
je fais face a un dilemme .	i face a dilemma .
arrete de courir .	stop running .
personne n est arrive .	no one arrived .
je ne suis pas content .	i am not happy .
je deteste les feux d artifice .	i hate fireworks .
je vous deteste toutes les deux .	i hate you both .
pardonne moi .	forgive me .
elle l a berne .	she fooled him .
va t en !	go away .
tiens toi droit .	don t slouch .
je viens de le faire .	i just did it .
en as tu un ?	do you have one ?
tom est superbe .	tom looks great .
dirigez vous vers l est .	head east .
elle a detourne le regard .	she looked away .
j aurai besoin de ca .	i ll need that .
ca va rompre .	it ll break .
il lit .	he is reading .
je vous dirai .	i ll tell you .
prenez un en cas !	have a snack .
je vous en prie .	i beg you .
puis je en avoir ?	can i have some ?
personne ne pense cela .	no one thinks so .
faites le entrer .	let him in .
restons silencieux .	let s keep quiet .
qui etes vous exactement ?	just who are you ?
donnez moi votre bras .	give me your arm .
c est incroyable !	unbelievable !
ferme le coffre .	lock the safe .
que vous etes grande !	how tall you are !
nous voulons des reponses .	we want answers .
depechez vous s il vous plait .	please hurry .
personne n est a la maison .	no one is home .
j ai des s urs .	i have sisters .
je prends plaisir a travailler .	i enjoy working .
chante avec nous .	sing with us .
j y vais tous les ans .	i go every year .
l hiver est fini .	winter is over .
tom n etait pas dupe .	tom knew better .
emmene tom a l interieur .	take tom inside .
comment etait l ecole ?	how was class ?
j ai trouve la fuite .	i found the leak .
tom sirotait du vin .	tom sipped wine .
on m a poignarde .	i was stabbed .
puis je utiliser ceci ?	may i use this ?
je me suis vraiment depeche .	i really hurried .
elle est morte .	it s dead .
je suis professeur .	i m a teacher .
le voila .	here he comes .
la coupe s est cassee .	the cup broke .
ils puent .	they smell bad .
est ce de l art ?	is this art ?
il m intrigue .	he intrigues me .
soyez ponctuelle !	be punctual .
je veux discuter .	i want to talk .
tom s est remarie .	tom remarried .
fais ca s il te plait !	please do that .
tom a t il mange ?	did tom eat ?
je deviens folle .	i m going crazy .
j ai decale .	i rescheduled .
comme tu es grande !	how tall you are !
ils s en fichent .	they don t care .
nous mourrons de faim .	we ll starve .
reflechissez .	think about it .
je suis consciencieuse .	i m thorough .
venez avec moi .	come with me .
ne sois pas idiot .	don t be a fool .
regarde la route !	watch the road .
buvez vous de l alcool ?	do you drink ?
nous partons a la pension .	we re retiring .
il se mit au lit .	he went to bed .
il me fixa .	he stared at me .
tu es brillant .	you re bright .
mangez vous du poisson ?	do you eat fish ?
eh bien allons y .	well let s go .
nous nous echappons .	we re escaping .
on m a attrape .	i got caught .
ne soyez pas salace !	don t be crude .
que se passe t il si j echoue ?	what if i fail ?
je veux ceux la .	i want these .
es tu perdu ?	are you lost ?
regarde ca .	check that .
c est trop petit .	it s too small .
il a disjoncte .	he cracked up .
j ai besoin de temps .	i need time .
je suis vannee .	i m exhausted .
est ce grave ?	is it important ?
il est mon epoux .	he s my husband .
personne n etait la .	no one was there .
du calme .	quiet down .
c est la sienne .	that s his .
sois pret !	be prepared .
vous n etes pas mortes .	you re not dead .
il s agit d un fruit .	it s a fruit .
tom est docteur .	tom is a doctor .
c est ma s ur .	she s my sister .
nous voulons de la chair .	we want meat .
nul n est parfait .	no one s perfect .
il est tres jeune .	he is very young .
parle moi !	talk to me !
tu l as rencontree ?	have you met her ?
maintenant va t amuser .	now go have fun .
va la chercher !	go look for it .
dieu a envoye un signe .	god sent a sign .
retourne dormir .	go back to sleep .
j adore cuisiner .	i love cooking .
tom l a abattue .	tom shot her .
je veux tout .	i want it all .
nous sommes malchanceux .	we re unlucky .
j ai une arme a feu .	i have a gun .
j ai paye pour elles .	i paid for them .
il adore les jouets .	he loves toys .
tom conduit .	tom is driving .
tom apprecie marie .	tom likes mary .
etes vous droguee au crack ?	are you on crack ?
venez en au fait !	get to the point .
tiens ca !	hold this .
j etais en train de parler .	i was speaking .
je travaille dans un zoo .	i work at a zoo .
es tu au travail ?	are you at work ?
j ai remarque .	i noticed .
au feu !	fire !
c est moi qui l ai fait .	i did it .
tom a riposte .	tom retaliated .
nous n oublions jamais .	we never forget .
c est bien pour toi .	good for you .
on s est separes .	we split up .
venez seul !	come alone .
avertis tom .	warn tom .
je suis apres toi .	i m after you .
combien cela coutera t il ?	what ll it cost ?
tom va rester .	tom ll stay .
nous ne disposons pas d espace .	we have no room .
etes vous chez nous ?	are you home ?
parle moi !	talk to me !
je suis a la diete .	i m fasting .
c est assez grand .	it s quite large .
tom est aux anges .	tom s thrilled .
je devais vous voir .	i had to see you .
je suis certain .	i m certain .
faites la plus petite .	make it smaller .
je l ai apprecie .	i appreciated it .
quel malandrin !	what a heel !
es tu content ?	are you happy ?
reste avec tom !	stay with tom .
elles te craignaient .	they feared you .
du calme !	take it easy !
mangeons .	let s eat .
je suis tres detendue .	i m very relaxed .
tranquille .	calm down .
continuez !	get on with it .
depechez vous d aller chez vous !	hurry home .
c est un courriel indesirable .	this is spam .
tout est mouille .	it s all wet .
est ce mieux ?	is that better ?
il est embetant .	he s annoying .
vous etes trop vieille .	you re too old .
mes yeux sont bleus .	my eyes are blue .
tom etait assis tout pres .	tom sat nearby .
j ai besoin d etre vehiculee .	i need a ride .
j arrive chez moi .	i m coming home .
je suis dur .	i m tough .
attention a tes orteils .	watch your toes .
c est la criminalite qui est en baisse .	crime is down .
j obtiendrai de l aide .	i ll get help .
personne n a souri .	no one smiled .
aide moi la .	now help me .
ce fut facile .	this was easy .
nous sommes tous en train de mourir .	we re all dying .
est ce trop ?	is that too much ?
ceux ci sont ils pour moi ?	are those for me ?
est il a la maison ?	is he at home ?
tom la connait .	tom knows her .
c est parfait aujourd hui .	it s fine today .
est ce une bonne affaire ?	is it a deal ?
il l a mentionnee .	he mentioned it .
commencez ici .	start here .
ne faites pas attention a lui .	ignore him .
tu es genereuse .	you re generous .
regarde !	have a look .
merci beaucoup !	many thanks .
j arrive .	i am coming .
ne buvez pas ca !	don t drink that .
passons au vote .	let s vote .
dieu envoya un signe .	god sent a sign .
tom continua .	tom kept going .
j ai encore faim .	i m still hungry .
prenons un bus .	let s take a bus .
etes vous jalouse ?	are you jealous ?
laisse moi la regarder !	let me see it .
leve toi !	get on your feet .
j ai besoin de sucre .	i need sugar .
continue de danser .	keep dancing .
c est une blague .	that s a joke .
aide moi !	help me !
soyez tres prudentes !	be very careful .
tom doit rester .	tom has to stay .
tom est choque .	tom is shocked .
couvre nous .	keep us covered .
c est passionnant .	it s exciting .
je me sens en forme .	i m feeling fit .
il en a besoin .	he needs it .
ne sois pas alarmee .	don t be alarmed .
j arrangerai ca .	i ll arrange it .
tom a pris la releve .	tom took over .
nous sommes prets desormais .	we re ready now .
j ai mene l attaque .	i led the attack .
tom a t il essaye ?	did tom try ?
je l ai fait pour toi .	i did it for you .
qui t a envoyee ?	who sent you ?
qui le fera ?	who will do it ?
qu est ce qui a ete vole ?	what was stolen ?
nous sommes en avance .	we re early .
bonjour .	good afternoon .
j etais perdu .	i was lost .
qui est ce qui rit ?	who s laughing ?
buvons !	let s drink .
pardonnez moi .	forgive me .
j adorais ca .	i loved that .
oh non !	oh no !
je suis en train de conduire .	i m driving .
demandons .	let s ask .
j entends quelque chose .	i hear something .
j aime dormir .	i like sleeping .
vous y rendrez vous ?	will you go ?
ca sent bon !	it smells good !
j adore le dessert .	i love dessert .
es tu perdue ?	are you lost ?
montre le nous !	show it to us .
vous avez l air malade .	you look sick .
negocions .	let s negotiate .
il est gaucher .	he s a southpaw .
asseyez vous !	sit down !
j ai chope la grippe .	i caught the flu .
je connais la chanson .	i know the drill .
mets tom de bonne humeur .	humor tom .
regardez le chat .	look at the cat .
je suis folle .	i m crazy .
donnez moi une seconde .	give me a sec .
me connais tu ?	do you know me ?
sortez du lit !	get out of bed .
c est sur mon bureau .	it s on my desk .
est ce exact ?	is this correct ?
j ai horreur des araignees .	i abhor spiders .
laisse moi m en debrouiller !	let me handle it .
reponds en francais .	answer in french .
tom sait il cuisiner ?	can tom cook ?
je ne parviens pas a admettre ma defaite .	i can t give up .
je peux survivre .	i can survive .
dis le a tom .	tell tom .
apportez moi une boisson !	bring me a drink .
je suis vegetarienne .	i m a vegetarian .
vous etes bizarres .	you re odd .
je payerai plus tard .	i ll pay later .
ai je l air fatiguee ?	do i look tired ?
nous sommes amoureuses .	we re in love .
j ai expire .	i exhaled .
vous etes dingue !	you re nuts !
mens tu ?	are you lying ?
j y ai cru .	i believed that .
j ai les foies .	i m chicken .
il ricanait .	he chuckled .
je ne suis pas epris d elle .	i don t love her .
j en ai fini .	i m done .
elle parle trop fort .	she s too loud .
elles sont semblables .	they re similar .
monte au sommet .	climb to the top .
je suis desole .	i m sorry .
lis le compteur .	read the meter .
elles sont fatiguees .	they re tired .
j ai ete bon .	i was good .
que vous etes grands !	how big you are !
c est une ville agreable .	it s a nice town .
vous etes fiable .	you re reliable .
je ne suis pas bizarre .	i m not weird .
parle a tom !	talk to tom .
voici ton lait .	here s your milk .
il est actuellement a l exterieur .	he s out now .
serrez les dents .	bite the bullet .
les affaires n avancent pas vite .	business is slow .
je veux prendre ma pension .	i want to retire .
j ai besoin du tout .	i need all of it .
restez ou vous etes !	hold it !
vote s il te plait .	please vote .
dieu seul le sait .	only god knows .
il faut que j y aille .	i must go .
nous savons nager .	we can swim .
tom s est il noye ?	did tom drown ?
garde ca .	keep this .
ca repoussera .	it ll grow back .
descendez !	come downstairs .
laissez moi faire mon boulot !	let me do my job .
j etais inquiete .	i was worried .
c est trop tard .	it s too late .
elles t ont vu .	they saw you .
je dois y etre .	i must be there .
je veux celui la .	i want that one .
elle l a etrangle .	she choked him .
je suis assez heureux .	i m quite happy .
je connais les ficelles .	i know the ropes .
je suis credule .	i m gullible .
j ai besoin de savoir .	i need to know .
je n ai pas le temps .	i have no time .
je suis puissante .	i m powerful .
est ce que tom est ici ?	is tom here ?
applaudis s il te plait !	please clap .
ce sont les miens .	these are mine .
renvoie tom .	get rid of tom .
pars d ici .	go away .
j aime toujours tom .	i still like tom .
as tu sommeil ?	are you sleepy ?
nous nagerons .	we ll swim .
lance la a tom .	throw it to tom .
je dois cesser .	i have to stop .
tom est abattu .	tom is dejected .
essayez de vous reposer .	try to rest .
sois prete !	be prepared .
c est une table .	that is a table .
voila un stylo .	here s a pen .
nous sommes objectifs .	we re objective .
tom ricane .	tom is giggling .
quelles sont les nouvelles ?	what s the news ?
je suis meticuleux .	i m finicky .
moi je ne suis pas comme vous !	i m not like you .
la pause est terminee .	recess ended .
appelle le responsable .	call the manager .
je suis en train de perdre .	i m losing .
je vous ai contrariees .	i ve upset you .
parle plus fort !	speak up !
tu essaies .	you re trying .
tom avait besoin de nous .	tom needed us .
ne me charrie pas !	don t kid me !
tom est assoiffe .	tom is thirsty .
comment as tu fait ?	how did you do ?
sont elles nerveuses ?	are you nervous ?
jouez le tout pour le tout !	go for broke !
comme c est agreable !	how nice !
nous sommes forts .	we re strong .
peut etre que tom a oublie .	maybe tom forgot .
personne ne se deroba .	no one flinched .
etudie le francais .	study french .
tom est loyal .	tom is loyal .
comme c est excitant !	how thrilling !
je viens de l ouvrir .	i just opened it .
je leur souhaite bonne chance .	i wish them luck .
reparez ceci .	fix this .
je connais ton genre .	i know your type .
qui vous a recrute ?	who hired you ?
j ai rendu les coups .	i fought back .
de quelle maniere puis je aider ?	how can i help ?
c etait fini .	it was all over .
laissez tom repondre .	let tom answer .
je suis deja riche .	i m already rich .
ou es tu ?	where are you ?
ai je gagne ?	did i win ?
tout le monde a paye .	everybody paid .
ne me crie pas dessus .	don t yell at me .
il me faut te laisser .	i must leave you .
que sont ceux ci ?	what are those ?
quel romantisme !	how romantic !
laisse moi payer .	let me pay .
je suis gros .	i m fat .
j habite ici .	i live here .
c est mon cd .	it s my cd .
prenez le .	pick him up .
j ai un secret .	i have a secret .
il fait plus frais ici .	it s cooler here .
je n en acheterai pas .	i won t buy one .
qui t enseigne ?	who teaches you ?
j ai commence a travailler .	i began working .
est ce de l amour ?	is it love ?
tu n es pas gentil .	you re unkind .
je suis neutre .	i m neutral .
il a dormi toute la journee .	he slept all day .
elle attend un heureux evenement .	she s pregnant .
vous n etes pas malades .	you re not sick .
bravo !	well done .
tom est en difficulte .	tom s stranded .
nous en avions besoin .	we needed it .
es tu jaloux ?	are you jealous ?
demonte moi ca .	break it down .
je suis diplomate .	i m diplomatic .
nous eclatames de rire .	we broke up .
mes orteils sont engourdis .	my toes are numb .
est ce serieux ?	seriously ?
j ai mal a l estomac .	my stomach hurts .
donnez moi une seconde !	give me a second .
tom a regarde .	tom looked .
c est de la pizza ?	is that pizza ?
va te faire voir !	get lost !
je ne te raconte pas de craques .	i kid you not .
j ai besoin d un ordinateur portable .	i need a laptop .
je suis fauche .	i m broke .
sois toi meme .	be yourself .
je me suis amusee .	i had fun .
qu est ce qui vous a effrayes ?	what scared you ?
etes vous malchanceuses ?	are you unlucky ?
tom est vivant .	tom s alive .
tout le monde a dit non .	everyone said no .
je me suis marre .	i had some fun .
pouvons nous partir ?	can we leave ?
nous restons .	we re staying .
tu es sournoise .	you re sneaky .
est ce proche ?	is it nearby ?
il ne dort pas .	he doesn t sleep .
t es la ?	are you there ?
je n ai pas mange .	i haven t eaten .
vise ce chien !	look at that dog .
je ne suis pas en train de manger .	i am not eating .
je prierai de toutes mes forces .	i ll pray hard .
vous avez l air gros .	you look fat .
choisis moi !	vote for me !
arretez de vous chamailler .	stop squabbling .
je veux une revanche .	i want a rematch .
je te prie d etre honnete !	please be honest .
je suis rapide .	i m fast .
vise haut .	aim high .
tom est debout .	tom is standing .
je ne suis pas obese .	i m not obese .
as tu soif ?	are you thirsty ?
ferme cette porte !	shut that door .
je l ai initiee .	i started it .
je me sens perdu .	i feel lost .
est ce que je vous embete ?	do i annoy you ?
je vais travailler .	i go to work .
cuisine pour moi .	cook for me .
nous avons verifie .	we have checked .
ne touche pas a ca .	don t touch it .
suivez les juste !	just follow them .
qui a gagne aujourd hui ?	who won today ?
comment etait le match ?	how was the game ?
calme toi .	calm down .
c etait facile .	that was easy .
recule .	go back .
les vaches produisent du lait .	cows supply milk .
va t amuser .	go have some fun .
s agit il d un cerf ?	is it a deer ?
est ce que c est votre voiture ?	is this your car ?
j ai fait retentir la cloche .	i rang the bell .
tu m as rejoui .	you made my day .
restez souriante .	keep on smiling .
on a besoin de toi .	we need you .
il est sur le point de s en aller .	he s about to go .
tu es excuse .	you re forgiven .
tom a faim .	tom is hungry .
c est votre ami .	he s your friend .
il sera pret .	he will be ready .
j ai du retourner .	i had to go back .
ce ne sera pas difficile .	it won t be hard .
c est la mienne .	it s mine .
allons nous preparer .	let s get ready .
je te crois vraiment .	i do believe you .
je deteste l hypocrisie .	i hate hypocrisy .
je deteste les avocats .	i hate lawyers .
poste cette lettre .	mail this letter .
ne vous levez pas .	don t stand up .
il a des ennuis .	he is in trouble .
es tu drogue au crack ?	are you on crack ?
vous temporisez .	you re stalling .
est ce que c est un ours ?	is that a bear ?
j ai fait une crise .	i had a seizure .
je ne suis pas differente .	i m no different .
n oublie pas tom .	don t forget tom .
vous n etes pas mort .	you re not dead .
ils me laisserent m en aller .	they let me go .
fais le immediatement !	do it at once .
sois prudent !	be careful .
je dois m en aller .	i must go .
j adore ici .	i love it here .
continuons !	just keep moving .
pouvons nous donner un coup de main ?	can we help ?
porte le .	carry this .
qui t a envoye ?	who sent you ?
passe moi un coup de main .	lend me a hand .
laissez moi le voir .	let me see it .
ca fait tellement mal .	it hurts so much .
elle est forte .	she is strong .
mon chien l a bouffe .	my dog ate it .
appelez tom .	call tom .
tu dois venir .	you must come .
super !	wonderful !
je ne suis pas forte .	i m not strong .
nous coopererons .	we ll cooperate .
qui n est pas d accord ?	who disagrees ?
je ferai mine de cooperer .	i ll play along .
nous pouvions lire .	we could read .
nous n en sommes pas sures .	we re not sure .
ca ne ferait pas de mal .	it wouldn t hurt .
laissez moi faire ca .	let me do this .
n oubliez jamais cela .	never forget it .
je ne suis pas mariee .	i m not married .
les mots sont importants !	words matter .
mon portefeuille a disparu .	my wallet s gone .
garde les .	keep them .
nous l avons fait .	we did it .
j ai commence a pleurer .	i started to cry .
j ai perdu un pari .	i lost a bet .
es tu raciste ?	are you a racist ?
coupe le en deux .	cut it in half .
je ne suis pas un mendiant .	i m not a beggar .
je suis heureuse ici .	i m happy here .
il souffre .	he s in pain .
viens !	come on !
les fetes sont amusantes .	parties are fun .
je veux conduire .	i want to drive .
essaie de faire mieux .	try harder .
tom vous salue bien .	tom says hi .
il s agit d une plante .	it s a plant .
as tu compris ?	did you get it ?
tom est riche .	tom is wealthy .
c est plutot pepere .	it s quite safe .
je suis avocate .	i m a lawyer .
nous admirons tom .	we admire tom .
tom continuait a manger .	tom kept eating .
je suis tellement desole !	i m so sorry .
elles sont trop grasses .	they re too fat .
je veux la meme chose .	i want the same .
c est parfait .	this is fine .
tom est motive .	tom is driven .
tom est en tete .	tom is first .
je veux une pomme .	i want an apple .
c est ce que veut tom .	tom wants this .
je me sens tellement jolie !	i feel so pretty .
c est assez bon .	it s quite good .
garde ton sang froid .	stay calm .
j aime voyager .	i love to travel .
j adorais ca .	i loved it .
tom etait fort .	tom was strong .
allez vous en simplement .	just leave .
merci .	thank you .
j ai ete larguee .	i got dumped .
tom etait pale .	tom was pale .
il ne peut pas conduire .	he can t drive .
a t il raison ?	is he right ?
tu es dyslexique ?	are you dyslexic ?
il me faut y aller seul .	i must go alone .
ca fonctionne .	it works .
elle nage bien .	she swims well .
je suis stupefait .	i m astonished .
j ai tout pige .	i ve got it all .
il me faut de la peinture .	i need paint .
le rouge est mieux .	red is better .
j etais fatiguee .	i was tired .
nous l emporterons .	we ll win .
elles sont speciales .	they re special .
ce fut tellement ennuyeux !	it was so boring .
c est le sien .	that s hers .
il vient de rentrer a la maison .	he just got home .
j entends .	i hear that .
je travaille de nuit .	i work nights .
combien dois je ?	what do i owe ?
elle est misericordieuse .	she is merciful .
restez souriants .	keep on smiling .
il est trop saoul .	he s too drunk .
ca doit s arreter .	it has to stop .
allez voir un medecin !	go see a doctor .
reste au lit !	stay in bed .
il est membre d une fraternite etudiante .	he s a frat boy .
disparais !	beat it .
j adore les plaisanteries .	i love jokes .
ils ont morfle .	they struggled .
je deteste mon corps .	i hate my body .
elles attaqueront .	they ll attack .
moi je veux ca .	i want that .
je ne suis pas la .	i m not here .
tom est un aviateur .	tom is a pilot .
tom a donne son accord .	tom approved .
je vous invite .	i m inviting you .
tom parie .	tom gambles .
elle est tranchante .	she is sharp .
essaie ceci !	try this .
tenez moi informe !	keep me informed .
je suis un homme chanceux .	i m a lucky man .
essayons de nouveau .	let s try again .
vous ai je blessee ?	did i hurt you ?
lui pourrait le faire .	he could do it .
il le mentionna .	he mentioned it .
tout le monde est d accord .	everybody agrees .
nous nous sommes entretenus .	we talked .
j ai des preuves .	i have evidence .
barrez vous .	get away !
y etiez vous ?	were you there ?
ce que j etais naive !	boy was i naive .
fais attention .	watch yourself .
je meritais ca .	i deserved that .
arrete de tirer .	stop shooting .
ils vous aimaient .	they loved you .
je l ai rencontre une fois .	i met him once .
je nage beaucoup .	i swim a lot .
deverrouille le .	unlock it .
vous etes paresseuses .	you re lazy .
ecoute tom .	listen to tom .
tom transpire .	tom s sweating .
je me suis senti tres bien .	i felt wonderful .
j ai peut etre tort .	i may be wrong .
je l ai emporte !	i won !
nous sommes bourres .	we re sloshed .
je vous ai eues .	i ve got you .
on est des refugies .	we re refugees .
je suis vraiment prudente .	i m real careful .
il etudia avec application .	he studied hard .
je l apprecie .	i like this .
qui se trouve apres toi ?	who s after you ?
nous lisons .	we re reading .
j ai horreur des foules .	i hate crowds .
je deteste la paperasse .	i hate paperwork .
soyez un bon garcon !	be a good boy .
nous sommes reconnaissantes .	we re grateful .
je n ai pas obtenu de reponse .	i got no answer .
nous avons reussi !	we did it .
dans quel but ?	for what purpose ?
comment est la vie ?	how is life ?
je suis plutot content .	i m fairly happy .
je le connais .	i know him .
c est un fanatique .	he s a bigot .
reste positive !	stay positive .
j ai eu une attaque .	i had a seizure .
reste assis sans bouger .	sit still .
je veux divorcer .	i want a divorce .
qui sait cela ?	who knows that ?
j ai proteste .	i protested .
personne n etait chez moi .	nobody was home .
